rank,feature,mean_abs_ensemble_shap,mean_abs_member_shap,mean_ensemble_shap,sd_ensemble_shap,min_ensemble_shap,q25_ensemble_shap,median_ensemble_shap,q75_ensemble_shap,max_ensemble_shap,positive_share
55,ine_039,0.00201055867050311,0.002055627732668876,0.00034510118668016053,0.0040786625949747815,-0.028120520482795463,0.000979906363364017,0.0012572361294834618,0.001538650953060368,0.002188808955792169,0.896
56,sea_010,0.0019217493867867608,0.001954515759239374,0.0014040269746523535,0.0030931692612054117,-0.0356542541796394,0.0012011300964215243,0.001545893582278589,0.001975493046687467,0.007373594775553535,0.986
57,ine_034,0.0018380851176936148,0.0021915177514064167,0.0009398230366250268,0.0025776103032328214,-0.0034973296024203328,-0.0008226132730561372,-0.00010749564921220273,0.0022586155657075392,0.01229885741283894,0.476
58,rep_005,0.0018347916522153823,0.001943166958168215,0.0010947011511376345,0.004805499868439997,-0.009477496428032969,7.181544368184745e-05,0.0005926364941014506,0.0009128095316004969,0.032905082762358706,0.816
59,ine_049,0.0018294545635004077,0.0020834970244201605,0.0013608977324485157,0.0031587514652234544,-0.0032445346839748103,-0.00020565560188519257,0.00018360845834275823,0.0020654175889368723,0.011135649138999967,0.512
60,dgc_014,0.0017977740490040057,0.0026150303443935935,0.0003706533492862427,0.0029071057104940014,-0.01435090355490952,0.00015898447790463317,0.0010687310381132197,0.0015020913251763846,0.006633902476813278,0.824
61,dgc_015,0.001697956005330313,0.001887785361011744,0.00019426049141267718,0.003955828078217964,-0.008852685149536943,-0.00013070920548480347,-8.767570788330322e-05,0.00030738158728738503,0.012175798771914801,0.438
62,ine_043,0.0016676612265551002,0.0018394645445455112,-0.0001778088892096674,0.0023214864279459744,-0.012079081826330587,-0.0011735490052695989,3.1217043112794635e-06,0.0011405423324886573,0.006204974066637383,0.504
63,potencia,0.0016581720387503465,0.0024930636919411617,0.0009248868785119702,0.0031522333855302444,-0.016213976171100535,8.789051579222683e-05,0.0007903737414962868,0.0015621163721004632,0.024158919970758124,0.78
64,dgc_005,0.0016451237087882803,0.002034090241877424,0.0008370702690643557,0.007544855896606781,-0.006761336803798495,-0.00025757368160609663,5.194808257788378e-06,0.0002252057078545999,0.054650480827735305,0.51
65,dgc_008,0.0016367942541248705,0.0018530407832835355,-0.00034576054932756284,0.003171840186492646,-0.004259735524537666,-0.0015115835507466292,-0.0009320104894874604,-0.0002771597917920714,0.02216910621632437,0.21
66,dgt_001,0.0015512696031795938,0.0018134523590479447,0.0009552130746870067,0.001459519081018167,-0.0042761414920431525,0.00037895438848362193,0.0018115222595662408,0.0019139405784503283,0.0030275432124529543,0.862
67,rep_008,0.0015411388104617232,0.002272442459691113,0.0006107549859502765,0.002711280362887014,-0.005180099698348938,0.0001932210953376703,0.000580523995138061,0.0009238745986071599,0.014213644121320573,0.788
68,valorvehiculofabrica,0.0014904446129909218,0.002393470819859433,0.0010362768227498598,0.001721710769171244,-0.008757277885434369,0.0003229368102700498,0.001062952631461659,0.0019311034196417831,0.0072139315869020944,0.866
69,puertas,0.0013869721226252504,0.0023387725334887096,0.00034554473455419144,0.002112586584056919,-0.010148815215756474,-0.000706729443752594,-6.728163786050395e-05,0.0008278166903449176,0.008196950056352788,0.462
70,ine_035,0.00132984727909498,0.0015341008439419327,0.00010168545707160532,0.0025380126895666027,-0.005972741039567111,-0.00018733413450663236,-6.680325822393505e-05,4.629355188686558e-05,0.0052972580459789064,0.382
71,ine_051,0.0013274981591552123,0.001566200936599223,0.000823690981155442,0.0016694794789013855,-0.00310480327037557,-0.0004547726496176359,0.00043048108702439336,0.0018349617786975474,0.008283609134934474,0.67
72,ine_047,0.0013235414719276434,0.0017375388468507096,0.0008928880637981511,0.0017561600074544107,-0.00415173207943598,-7.607154526099553e-05,0.0004797142015380212,0.0010440669663914297,0.006262417962112657,0.74
73,rep_007,0.001280429015974235,0.0018032391960329567,0.00046773478864450504,0.0019672390800873174,-0.012132283511176734,0.000292397301663182,0.0005418331125260486,0.001309836527638331,0.004489273258478477,0.85
74,dgc_017,0.001264327387700023,0.0017735182039498338,0.0004277600255122738,0.002333346119249602,-0.019674023790995483,0.0004966244325758399,0.0007099672278112364,0.0007650884498738464,0.0031374120617718012,0.912
75,dgt_002,0.001241404864594868,0.0012849687950169447,0.0007607140378182756,0.0010915265962233454,-0.0036497995008770373,0.0012254391566012175,0.0012254391566012175,0.0012254391566012175,0.004187941680187371,0.82
