rank,feature,mean_abs_shap,mean_shap,sd_shap,min_shap,q25_shap,median_shap,q75_shap,max_shap,positive_share
55,ine_042,0.000190368592533518,9.37699283140341e-05,0.000254796098805188,-0.000461025744197018,-7.85726681201191e-05,2.201912676406e-05,0.000219691258591959,0.00110541190873538,0.55
56,dgc_005,0.000188588736766478,7.90873149859543e-05,0.000334727411741155,-0.00042278805426513,-9.31231512615155e-05,5.35040648237654e-06,0.000123652854291279,0.00212632867949272,0.51
57,dgc_010,0.000188238445167643,0.000114713336073426,0.000277873222181242,-0.000383819939374812,-5.37779345107712e-05,2.87350435037178e-05,0.000193199057620144,0.00141115508548217,0.594
58,ine_027,0.000187802540489994,9.12171793100709e-05,0.000271282024345186,-0.000497934944805125,-8.20554949414332e-05,3.11146781311458e-05,0.000190555461085934,0.00153425898615305,0.554
59,dgc_009,0.000186019887908096,0.000106883291115242,0.000256209034606436,-0.000400293248142872,-6.23666266158285e-05,4.71250748946817e-05,0.000230876683120276,0.00176458272918637,0.598
60,ine_031,0.00018579641346725,7.16331296424822e-05,0.000267804748784726,-0.000685146877069785,-8.71055463779178e-05,-7.24704289882486e-06,0.000157108289113919,0.00101997946773087,0.482
61,dgc_018,0.000185342865847182,0.00010394776259112,0.000280170733051084,-0.000397448683985286,-7.13743324881098e-05,1.81267675416678e-05,0.000200317350525558,0.00171181461191581,0.554
62,ine_047,0.000183216695644889,0.000101844212871372,0.000248270771459592,-0.000372301633182601,-6.35721061932581e-05,2.94810234310903e-05,0.000230715179570746,0.00145407098950885,0.576
63,dgc_002,0.000181701491476262,7.88584948448645e-05,0.000348832077506061,-0.000459349195540598,-8.81289039522531e-05,-8.26770957583736e-06,9.65781601415611e-05,0.0027771140018735,0.49
64,ine_004,0.000181207147098317,0.000125793742363704,0.00027823149612677,-0.000241075612434787,-3.88507043646117e-05,3.87916141273424e-05,0.000187404648298446,0.00155908752063803,0.628
65,ine_003,0.000180779430940763,0.000111527322004544,0.00025053508369006,-0.000399713431502743,-6.23146546478357e-05,2.26617697746562e-05,0.000214431866796952,0.00115921755250342,0.572
66,ine_014,0.000177988638833211,0.000122101236962433,0.000217232547777118,-0.000474170794163316,-1.18574034056175e-05,7.87547771017609e-05,0.000235622818154514,0.00137613303290722,0.73
67,ine_001,0.000175268398262195,6.99255552900085e-05,0.000287117330231385,-0.000560815806877027,-8.36519441023531e-05,1.71349247686925e-05,0.000145438299534015,0.00213277997770214,0.528
68,ine_032,0.000172015061774132,6.72899371198097e-05,0.000260632919259571,-0.000421523206070541,-9.31872611992427e-05,6.74925538925437e-06,0.000146122558254551,0.00147143051476429,0.51
69,dgc_006,0.000170391947207889,0.000101979814973582,0.000284988730298943,-0.000278096716212625,-5.71251959804531e-05,2.45525061706374e-05,0.000165705425922636,0.0023615732754443,0.57
70,dgc_008,0.000170162423189084,8.5616925570454e-05,0.000267168121763702,-0.00035551536330269,-6.69540066901264e-05,1.74394882630046e-05,0.000150106491174692,0.0017550592300409,0.546
71,dgc_013,0.000169950081099177,0.00010128565681696,0.000329150179227792,-0.000358801594330101,-5.13788033271906e-05,2.18672754507658e-05,0.000132059254824431,0.00298753537373286,0.578
72,sea_009,0.000168067689144437,3.63500986740659e-05,0.00030532467730698,-0.000487964598861264,-0.000116730056370336,-2.11858565926649e-05,0.000113642762483247,0.00332885033959614,0.448
73,contrataasistencia,0.000164232686245286,7.73705957476962e-05,0.000466097765960096,-0.000299508718903428,-7.23770214407946e-05,-2.34187669256869e-18,4.77048955893621e-19,0.00290345245504048,0.316
74,ine_035,0.000163284141525377,8.28028992690076e-05,0.000232962869724806,-0.000459622690450563,-6.13041471666229e-05,1.62962707350121e-05,0.00019211600852015,0.00134361138985313,0.55
75,rep_004,0.00016177733716798,5.83052436829183e-05,0.000222295384101689,-0.000398131357481122,-8.78729982327664e-05,5.24701368862778e-06,0.000148007617571387,0.00103081823898804,0.51
76,ine_049,0.000161607689563302,8.77902045604827e-05,0.000209230151305886,-0.000442306685441611,-5.54995236794655e-05,4.39715348916238e-05,0.000200133048883215,0.00134151532547638,0.61
77,ine_023,0.000161257910513947,4.84544812174779e-05,0.000217117968203804,-0.000529856752382794,-9.39573154749567e-05,-2.51106529895404e-06,0.000164246927115238,0.00128043238717205,0.496
78,ine_019,0.000160753923772873,7.79038594477302e-05,0.000265958379821419,-0.000392803043128076,-6.54274337275442e-05,1.06525281326192e-05,0.000131121102102993,0.00193295988750463,0.522
79,dgc_011,0.000160665960863522,8.35515330064899e-05,0.000264467642546655,-0.000390930718443901,-5.96961941483231e-05,3.43715631821584e-06,0.000121164536474913,0.00125100928672942,0.53
80,dgc_017,0.000160648676240019,6.88179679853812e-05,0.000261625925577757,-0.000334834036034775,-7.59248217331767e-05,-4.387696282025e-06,0.000101414940659337,0.00173280448449661,0.484
81,ine_005,0.000157770661961347,8.65452668578543e-05,0.000224395143458468,-0.000308447467405759,-5.44901596907638e-05,2.20466894094383e-05,0.000186535481214264,0.00213069169721703,0.558
82,dgc_003,0.000153031718845524,8.66329200765461e-05,0.000239472237911013,-0.000387823675262073,-5.02808880543655e-05,2.0546555166944e-05,0.000142662570384717,0.00207497007925082,0.582
83,ine_007,0.000151390733161182,9.18432941037795e-05,0.000243551253776232,-0.000284876338267698,-3.87477829151391e-05,3.2224695907939e-05,0.000152267667779691,0.00246626749567025,0.61
84,tomadorcomarcaid,0.000151347731760166,0.000116074191895051,0.000177443012776685,-0.000267212460010982,-4.01071304024341e-06,9.4572178701381e-05,0.0001978060979927,0.0012428288201186,0.736
85,sea_004,0.000149501426028946,3.24734065030287e-05,0.000233891029655124,-0.000437955984623607,-9.92865038500441e-05,-1.95341889634697e-05,9.55974058227854e-05,0.00132945193296899,0.424
86,dgc_019,0.000149270689294679,6.98794264777302e-05,0.000241394794770883,-0.000458485928632766,-6.25898506100197e-05,4.34557692154919e-06,0.000114936537394357,0.00196413929091805,0.51
87,ine_002,0.000148303521770206,9.99090023617216e-05,0.000227023491631277,-0.000324312544154563,-2.9851234226258e-05,3.45606538013604e-05,0.0001503004823495,0.00138792439359096,0.626
88,ine_022,0.000146232696932966,6.74192669266448e-05,0.000194628835936023,-0.000299776458644772,-6.59056202069774e-05,2.66495236790604e-05,0.000168050713121952,0.000939850223045515,0.578
89,sea_008,0.000146063625231615,6.01658054699028e-06,0.000219442652563848,-0.000611032941190655,-0.000115819156644657,-2.71967669103336e-05,8.69805109913847e-05,0.00186621993409096,0.438
90,ine_036,0.000145110031130356,7.27406252352438e-05,0.000239833767155749,-0.000337064093971189,-5.25689907018288e-05,4.44021471457634e-06,0.000119780439433596,0.00152488858505313,0.514
91,rep_007,0.000144084226742815,5.80603164218645e-05,0.000211755548026333,-0.000551339227346163,-6.1076120620819e-05,1.30554104393441e-05,0.000154587937749125,0.00194211476469297,0.56
92,rep_008,0.000143752680882107,6.39545075322579e-05,0.000217065384198673,-0.000351259829508559,-6.52015936004017e-05,8.26971591572351e-06,0.000128002369096562,0.00143535650866484,0.524
93,dgc_016,0.000142909275775642,8.81073647841707e-05,0.000230654176712026,-0.000238220913426135,-3.93708694647202e-05,3.45859610628692e-05,0.000144602526998276,0.00184033485731379,0.6
