rank,trial,mean_fpr,std_fpr,worst_fold_fpr,mean_pr_auc,mean_roc_auc,mean_precision,median_best_iteration,best_iterations,mean_training_rows,rus_ratio,learning_rate,tree_shape,min_child_samples,feature_fraction,reg_alpha,reg_lambda,min_split_gain,cat_smooth,cat_l2,relative_fpr_reduction_vs_baseline,relative_fpr_reduction_vs_screen_rus15
41,7,0.2047289480957209,0.019365354316326907,0.229133217249723,0.04588294123647097,0.8899783619354362,0.016304541246236696,75,"[23, 44, 75, 177, 99]",90768.0,60,0.06458228319438214,d4_l15,100,0.8,0.0,10.0,0.01,50.0,1.0,0.10577520235249274,0.04189745867777617
42,37,0.20474249109938686,0.016434578735783138,0.2226430881255512,0.03866052864803088,0.8907885840304433,0.01627026584723216,319,"[202, 319, 292, 424, 515]",8928.0,5,0.015307307181629393,d5_l15,400,0.9,0.0,0.01,0.1,1.0,10.0,0.1057160485795389,0.041834079334746345
43,57,0.20559500656582536,0.02340737255913094,0.23238433358961602,0.05298579255244977,0.8888803034947583,0.016298598428356563,80,"[42, 114, 185, 19, 80]",46128.0,30,0.02862096001399965,d3_l7,50,0.9,0.01,0.01,0.1,50.0,1.0,0.10199239114096845,0.037844427443752736
44,32,0.20570126963714902,0.0207488476511975,0.23056397268327983,0.05186556672817401,0.8892658948243547,0.01624457505359574,67,"[66, 84, 137, 67, 62]",46128.0,30,0.03707139747893646,d3_l7,50,1.0,0.01,0.01,0.1,50.0,1.0,0.10152825026428412,0.03734713128885672
45,39,0.20590025410577928,0.01951043652472959,0.22517072950115327,0.04653668360265133,0.8867891074021047,0.01621662633573677,52,"[255, 45, 63, 8, 52]",46128.0,30,0.06785175436588332,unlimited_l31,50,0.9,0.0,0.01,0.01,50.0,5.0,0.10065911647616592,0.03641591209952563
46,20,0.2064045679602647,0.01739694363330442,0.22620474435223084,0.03881398639744378,0.8901457874280609,0.016148348932122036,104,"[45, 104, 99, 152, 132]",8928.0,5,0.07617545395562808,d5_l31,400,0.9,0.1,0.01,0.1,1.0,1.0,0.0984563505328406,0.03405579453871744
47,31,0.20648601396179483,0.016049659237116574,0.22367201103548087,0.04256619590689238,0.8869833224507635,0.016132149021920263,131,"[75, 76, 236, 131, 389]",8928.0,5,0.03619482898636437,d3_l7,50,0.9,0.01,0.01,0.1,10.0,1.0,0.09810060682920266,0.03367463876288618
48,49,0.20829734161351418,0.018554130030497606,0.2331810678184573,0.04196256342630428,0.886075638177547,0.016013466598700784,141,"[102, 141, 158, 211, 101]",8928.0,5,0.03262089189682783,unlimited_l63,20,0.9,0.0,0.01,0.1,10.0,1.0,0.0901890041081514,0.025197881360371124
49,5,0.20885589107113556,0.017672511219585258,0.23402908120576196,0.035591895283937115,0.8853976797267699,0.015961858623378657,77,"[5, 69, 87, 137, 77]",8928.0,5,0.0684388172612497,d6_l31,100,0.7,10.0,0.0,0.0,1.0,20.0,0.08774934532827004,0.022583948842381615
50,13,0.2103777633842993,0.010831830647211339,0.22256394020940276,0.03870999827292513,0.8846949593901827,0.01579542995657803,210,"[92, 227, 262, 210, 195]",31248.0,20,0.031120450917660896,d8_l31,200,0.6,5.0,10.0,0.5,5.0,20.0,0.08110203934666595,0.015461801513571113
51,30,0.2110245545588431,0.013954679099259765,0.23241220234730106,0.03478280695326243,0.8840271947043595,0.015767465531341413,57,"[28, 97, 40, 57, 75]",8928.0,5,0.05194925808333802,d8_l63,50,0.8,0.01,10.0,0.1,5.0,10.0,0.07827695421553829,0.012434910232200062
52,34,0.21119642867986088,0.02435686690772122,0.23727414576784786,0.03987541218746926,0.8841547218121347,0.015878272957583196,59,"[68, 169, 48, 59, 8]",16368.0,10,0.015568672823834236,d5_l15,20,0.9,1.0,0.01,0.0,10.0,1.0,0.07752623428795825,0.011630563638001502
53,0,0.21368166690507467,0.012441869524481675,0.23148504104384796,0.04616157676815137,0.8833545062349236,0.015564334712455658,80,"[54, 80, 92, 46, 259]",23808.0,15,0.05,unlimited_l31,20,1.0,0.0,0.0,0.0,10.0,10.0,0.06667109304037762,-3.896765129779568e-16
54,47,0.2174626353255693,0.02127593442980664,0.2508536668098867,0.035337259751294765,0.8821437791626856,0.01537496418791839,112,"[46, 210, 128, 29, 112]",16368.0,10,0.027005783703495486,d4_l15,50,0.9,1.0,5.0,0.5,5.0,10.0,0.05015640006619388,-0.01769439781735869
55,1,0.21849602063201923,0.015101366966659648,0.23636959815472286,0.042238691588005764,0.8805470598630712,0.015242411030478863,60,"[60, 128, 121, 24, 30]",46128.0,30,0.05,unlimited_l31,20,1.0,0.0,0.0,0.0,10.0,10.0,0.04564273077248934,-0.02253049499601364
56,58,0.21927618210740904,0.020750321988614474,0.24621786029262116,0.03370575826443486,0.883478149133048,0.015236573675001946,167,"[177, 167, 261, 121, 159]",8928.0,5,0.023883493511216384,d5_l31,50,0.9,10.0,10.0,0.1,1.0,1.0,0.042235104523481046,-0.02618154043519205
57,2,0.22084787418773244,0.018484655591917153,0.24904457158363674,0.035566167036615505,0.8774284999071174,0.015106588630421632,70,"[107, 392, 24, 33, 70]",16368.0,10,0.011430983876313222,d6_l31,200,0.9,1.0,0.01,0.5,5.0,5.0,0.035370193402879446,-0.03353683723293561
58,19,0.22190158325536205,0.01750634685784869,0.2421587028787228,0.03981759653945645,0.8791201906076695,0.015029365597741522,68,"[124, 14, 164, 68, 13]",46128.0,30,0.04074778449123928,d5_l15,20,0.9,10.0,0.01,0.1,5.0,1.0,0.030767753022343313,-0.038468046741413034
59,40,0.22388704013255287,0.01509720351339707,0.24448238433358963,0.034589776316757845,0.8780849070051829,0.014877567080861742,27,"[27, 28, 24, 40, 17]",90768.0,60,0.08689181336152417,d8_l63,50,0.8,1.0,10.0,0.1,1.0,1.0,0.022095580421653244,-0.04775970430824038
60,6,0.23073895600810035,0.009759900086777691,0.24313109156283214,0.03774188580419417,0.8701717610674781,0.014422315405411997,7,"[7, 7, 27, 7, 12]",90768.0,60,0.04463061784492517,d8_l63,50,0.7,0.1,0.1,0.01,1.0,1.0,-0.007832542319662471,-0.07982570217688935
